id,name,host_id,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews,availability_365,bedrooms,bathrooms,review_scores_rating,accommodates,reviews_per_month,host_since,price_per_bedroom,price_per_bathroom,price_per_person,host_experience_years,experienced_host,luxury_flag
138221,Lone Mountain Pied A Terre,674976,Inner Richmond,Entire home/apt,140.0,30,88,74,1.0,1.0,4.83,2,0.52,2011-06-07,140.0,140.0,70.0,14.098630136986301,True,False
147443,Best Views in all of San Francisco,709325,Diamond Heights,Entire home/apt,200.0,30,107,240,2.0,1.5,4.6,4,0.63,2011-06-16,100.0,133.33333333333334,50.0,14.073972602739726,True,False
148627,Marina Studio w/ Private Entrance + Full Kitchen,709325,Marina,Entire home/apt,81.0,30,121,310,1.0,1.0,4.31,1,0.73,2011-06-16,81.0,81.0,81.0,14.073972602739726,True,False
148769,Ground Floor Studio with Garage Parking,709325,Twin Peaks,Entire home/apt,77.0,30,98,318,1.0,1.0,4.18,2,0.73,2011-06-16,77.0,77.0,38.5,14.073972602739726,True,False
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Mission,Entire home/apt,153.0,30,135,315,2.0,1.0,4.74,4,0.8,2010-07-19,76.5,153.0,38.25,14.983561643835616,True,False
175090,Financial Dist. Near Union Square/North Beach,127367,Financial District,Entire home/apt,92.0,30,32,274,0.0,1.0,4.48,2,0.19,2010-05-18,inf,92.0,46.0,15.153424657534247,True,False
175102,Financial District: Rooftop deck.Near dining/shops,127367,Chinatown,Entire home/apt,99.0,30,57,206,0.0,1.0,4.74,2,0.34,2010-05-18,inf,99.0,49.5,15.153424657534247,True,False
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Glen Park,Entire home/apt,215.0,3,367,277,2.0,1.0,4.89,4,2.31,2011-07-28,107.5,215.0,53.75,13.95890410958904,True,False
193292,Nice Rooms With Private 1/2 Bath,937281,Noe Valley,Private room,100.0,30,63,308,1.0,0.5,4.93,1,0.38,2011-08-07,100.0,200.0,100.0,13.931506849315069,True,False
208714,Cozy fully furnished one bedroom apartment in SF,1027819,Downtown/Civic Center,Entire home/apt,175.0,30,78,335,1.0,1.0,4.8,2,0.46,2011-08-27,175.0,175.0,87.5,13.876712328767123,True,False
208831,Suite in Heart of North Beach.,1028577,Russian Hill,Entire home/apt,177.0,3,674,220,1.0,1.0,4.82,2,4.03,2011-08-27,177.0,177.0,88.5,13.876712328767123,True,False
